node_id	metanode_type	external_id	name
47	Compound	CHEMBL3928361	CHEMBL3928361
48	Compound	CHEMBL3900925	CHEMBL3900925
49	Compound	CHEMBL3972065	CHEMBL3972065
50	Compound	CHEMBL3953713	CHEMBL3953713
51	Compound	CHEMBL3901185	CHEMBL3901185
52	Compound	CHEMBL3944589	CHEMBL3944589
53	Compound	CHEMBL3916672	CHEMBL3916672
54	Compound	CHEMBL3964729	CHEMBL3964729
55	Compound	CHEMBL3911352	CHEMBL3911352
56	Compound	CHEMBL3936187	CHEMBL3936187
57	Compound	CHEMBL3891011	CHEMBL3891011
58	Compound	CHEMBL3922414	CHEMBL3922414
59	Compound	CHEMBL3983798	CHEMBL3983798
60	Compound	CHEMBL3919811	CHEMBL3919811
61	Compound	CHEMBL3923966	CHEMBL3923966
62	Compound	CHEMBL3905315	CHEMBL3905315
63	Compound	CHEMBL3967087	CHEMBL3967087
64	Compound	CHEMBL4070633	CHEMBL4070633
65	Compound	CHEMBL4087666	CHEMBL4087666
66	Compound	CHEMBL4077078	CHEMBL4077078
67	Compound	CHEMBL4099031	CHEMBL4099031
68	Compound	CHEMBL4063330	CHEMBL4063330
69	Compound	CHEMBL4069552	CHEMBL4069552
70	Compound	CHEMBL4096048	CHEMBL4096048
71	Compound	CHEMBL4070302	CHEMBL4070302
72	Compound	CHEMBL4102297	CHEMBL4102297
73	Compound	CHEMBL4282794	CHEMBL4282794
74	Compound	CHEMBL278315	GELDANAMYCIN
75	Compound	CHEMBL170365	acetaldehyde
76	Compound	CHEMBL1356	benzoic acid
77	Compound	CHEMBL2146121	calcium ions
78	Compound	CHEMBL1261	citric acid
79	Compound	CHEMBL1200547	chloride
80	Compound	CHEMBL2105994	salicylate
81	Compound	CHEMBL1231071	arsenite
82	Compound	CHEMBL136061	phosphonoacetic acid (PAA
83	Compound	CHEMBL1046	EACA
84	Compound	CHEMBL692	glycerol
85	Compound	PUBCHEM:783	hydrogen
86	Compound	CHEMBL359504	malonate
87	Compound	CHEMBL2146125	magnesium
88	Compound	PUBCHEM:923	sodium
89	Compound	CHEMBL1140	vitamin B
90	Compound	CHEMBL1098659	distilled water
91	Compound	CHEMBL1187	phosphate
92	Compound	CHEMBL1160571	pyrophosphate
93	Compound	CHEMBL2097002	selenate
94	Compound	CHEMBL1200456	sulphate
95	Compound	CHEMBL254951	2-mercaptoethanol
96	Compound	CHEMBL25	aspirin
97	Compound	PUBCHEM:2514	cadmium
98	Compound	CHEMBL388560	diazinon
99	Compound	CHEMBL1241153	ibuprofen
100	Compound	CHEMBL1200864	indomethacin
101	Compound	CHEMBL1234613	diphosphopyridine nucleotide
102	Compound	CHEMBL14249	MgATP
103	Compound	CHEMBL14830	MgADP
104	Compound	CHEMBL1627073	uridylate
105	Compound	CHEMBL1315633	adenosine monophosphate
106	Compound	CHEMBL1627075	poly-C
107	Compound	CHEMBL301523	phenylalanine
108	Compound	CHEMBL43068	L-valine
109	Compound	CHEMBL54976	tryptophan
110	Compound	CHEMBL1200391	Tris-HCl
111	Compound	CHEMBL348107	acrylamide
112	Compound	CHEMBL1627076	guanylate
113	Compound	PUBCHEM:6830	guanosine triphosphate
114	Compound	CHEMBL119596	EGEE
115	Compound	CHEMBL1235226	diethylene glycol
116	Compound	CHEMBL1235254	tetraethylene glycol
117	Compound	CHEMBL1275977	neomycin
118	Compound	CHEMBL384759	guanosine diphosphate
119	Compound	PUBCHEM:10214	3'-phosphoadenosine 5'-phosphosulfate
120	Compound	CHEMBL1255782	emetine
121	Compound	CHEMBL572546	phosphosulfate
122	Compound	CHEMBL1230866	silver nanoparticles
123	Compound	CHEMBL1206239	Poly(dA
124	Compound	CHEMBL1234326	3-hydroxypicolinic acid
125	Compound	PUBCHEM:14888	arsenic trioxide
126	Compound	CHEMBL1167	spectinomycin
127	Compound	CHEMBL3184791	streptomycin
128	Compound	CHEMBL2105054	phosphinate
129	Compound	PUBCHEM:23931	mercury
130	Compound	PUBCHEM:23977	cobalt
131	Compound	CHEMBL1411246	Zn(II
132	Compound	CHEMBL1200929	ZnSO4
133	Compound	CHEMBL177367	silver nitrate
134	Compound	CHEMBL1255943	glutamic acid
135	Compound	CHEMBL1230989	AMP-PNP
136	Compound	CHEMBL1233085	Gpp(NH)p
137	Compound	CHEMBL1229766	pentaethylene glycol
138	Compound	PUBCHEM:64730	glucans
139	Compound	CHEMBL1372	GSSG
140	Compound	CHEMBL1214186	sinefungin
141	Compound	CHEMBL1171272	Girodazole
142	Compound	CHEMBL284377	phospho-serine
143	Compound	PUBCHEM:72332	NSC 141633
144	Compound	CHEMBL215645	rivastigmine
145	Compound	CHEMBL1234276	2-(N-morpholino)ethanesulfonic acid
146	Compound	PUBCHEM:82127	potassium hydride
147	Compound	PUBCHEM:83606	strontium hydride
148	Compound	PUBCHEM:84265	GalNAc alpha
149	Compound	CHEMBL1213327	coenzyme A
150	Compound	CHEMBL171281	D-Cys
151	Compound	PUBCHEM:93082	GMPCPP
152	Compound	CHEMBL103247	L-Dap
153	Compound	CHEMBL345292	S-hexylglutathione
154	Compound	PUBCHEM:97538	S-(p-nitrobenzyl)glutathione
155	Compound	CHEMBL378605	C-phenylglycine
156	Compound	CHEMBL113178	SeMet
157	Compound	CHEMBL330546	PLLA
158	Compound	CHEMBL1236315	tartrate
159	Compound	PUBCHEM:123991	dehydroalanine
160	Compound	CHEMBL1543	reduced glutathione
161	Compound	CHEMBL574817	3'-phosphoadenosine 5'-phosphate
162	Compound	CHEMBL1229561	poly(2'-O-methyladenylic acid
163	Compound	CHEMBL2206196	paromomycin
164	Compound	PUBCHEM:165838	7-methylguanosine 5'-monophosphate
165	Compound	PUBCHEM:168161	2'-O-methylguanosine 5'-monophosphate
166	Compound	CHEMBL857	anti-biotin
167	Compound	PUBCHEM:188966	dADP
168	Compound	PUBCHEM:189854	AC1L4PEN
169	Compound	CHEMBL72388	5-methylcytidylic acid
170	Compound	CHEMBL197110	Allo-gamma-hydroxyglutamic acid
171	Compound	CHEMBL1351908	NSC-33010
172	Compound	CHEMBL423192	anisomycin
173	Compound	CHEMBL406270	dithiothreitol
174	Compound	PUBCHEM:439417	L-beta-lysine
175	Compound	PUBCHEM:439424	pseudouridylic acid
176	Compound	CHEMBL2104870	puromycin
177	Compound	CHEMBL553426	D-alpha-aminobutyric acid
178	Compound	PUBCHEM:439750	N-formylmethionine
179	Compound	PUBCHEM:440416	C04639
180	Compound	PUBCHEM:440758	adenosine 5'-phosphoselenate
181	Compound	CHEMBL126	linezolid
182	Compound	PUBCHEM:444080	Maval
183	Compound	PUBCHEM:444104	glutathione sulfonic acid
184	Compound	PUBCHEM:444493	acetyl-CoA
185	Compound	PUBCHEM:444718	L-3-phenyllactic acid
186	Compound	CHEMBL165	resveratrol
187	Compound	PUBCHEM:446207	D-phenylalanyl
188	Compound	PUBCHEM:446782	AC1L9K3C
189	Compound	PUBCHEM:448209	CMP-sialic acid
190	Compound	CHEMBL489	4-hydroxytamoxifen
191	Compound	PUBCHEM:451597	PANS 5'-monophosphate
192	Compound	PUBCHEM:475367	AC1L9SSV
193	Compound	CHEMBL1488586	AC1LCZ7S
194	Compound	CHEMBL1605795	AC1LDAY6
195	Compound	CHEMBL1329446	AC1OCX1K
196	Compound	CHEMBL1524482	T6375761
197	Compound	CHEMBL1352897	AC1LEXOX
198	Compound	CHEMBL1537098	ksc-8-51
199	Compound	CHEMBL405317	AC1LHJD2
200	Compound	CHEMBL1470676	AC1LI2XE
201	Compound	CHEMBL1361922	AC1LHOAV
202	Compound	CHEMBL1310144	AC1LHQM7
203	Compound	CHEMBL1587117	3-[(4-ethoxyphenoxy)methyl]benzoic acid
204	Compound	CHEMBL1310435	AC1LK9W8
205	Compound	PUBCHEM:1151030	LS-40231
206	Compound	CHEMBL1332512	T5660652
207	Compound	CHEMBL1506503	AC1LOE3E
208	Compound	CHEMBL1884996	AC1LOZXL
209	Compound	CHEMBL1518184	AC1LR2WT
210	Compound	CHEMBL1461730	AC1LRSO5
211	Compound	CHEMBL1383149	6W-0211
212	Compound	CHEMBL1403014	8J-320S
213	Compound	CHEMBL15770	sulindac
214	Compound	CHEMBL1910655	AC1LWHNA
215	Compound	CHEMBL261123	AC1M0U13
216	Compound	CHEMBL1470904	AC1M3MDE
217	Compound	CHEMBL1573366	AC1M48EM
218	Compound	CHEMBL1606031	AC1M50DI
219	Compound	CHEMBL1320007	AC1M597T
220	Compound	CHEMBL1351963	AC1M5TQX
221	Compound	CHEMBL1363796	AC1OBK1Z
222	Compound	CHEMBL1417851	AC1M6MT7
223	Compound	CHEMBL1610938	AC1M6QGF
224	Compound	CHEMBL1339678	T5517345
225	Compound	CHEMBL1392142	AC1M72LB
226	Compound	CHEMBL1320794	AC1M747X
227	Compound	CHEMBL1406361	AC1Q2HP2
228	Compound	CHEMBL1525789	AC1Q2U3M
229	Compound	CHEMBL1562575	AC1Q5HEM
230	Compound	CHEMBL1605021	AC1ME6L3
231	Compound	CHEMBL1256987	fusidic acid
232	Compound	CHEMBL441	thiopentone
233	Compound	PUBCHEM:3080744	poly(rCm
234	Compound	CHEMBL1385073	AC1MJSXK
235	Compound	CHEMBL1480522	AC1MJ10T
236	Compound	CHEMBL1376674	AC1MLHBY
237	Compound	CHEMBL1583768	AC1MLVZO
238	Compound	PUBCHEM:3246323	O-phosphothreonine
239	Compound	CHEMBL1352521	AC1MP7MF
240	Compound	CHEMBL1595790	AC1MPSSS
241	Compound	CHEMBL1583837	AC1MRXG6
242	Compound	CHEMBL1486874	AC1MS651
243	Compound	PUBCHEM:3556268	osmium ammine-B
244	Compound	CHEMBL1579258	AC1MTRSQ
245	Compound	CHEMBL1500447	AC1MXA9E
246	Compound	CHEMBL1569984	5T-0269
247	Compound	CHEMBL1303404	3T-0330
248	Compound	CHEMBL1507250	KSC-8-64
249	Compound	CHEMBL1453996	1W-0926
250	Compound	CHEMBL1496413	AC1N8FAO
251	Compound	CHEMBL1573994	ksc-8-87
252	Compound	CHEMBL1597561	AC1NMU2T
253	Compound	PUBCHEM:5287712	atrazine-glutathione conjugate
254	Compound	PUBCHEM:5287987	L-Capreomycidine
255	Compound	PUBCHEM:5288232	AC1NRB2Z
256	Compound	PUBCHEM:5289071	2'-O-methyl-UMP
257	Compound	CHEMBL458512	pactamycin
258	Compound	PUBCHEM:5289145	AC1NRCR6
259	Compound	PUBCHEM:5289231	AC1NRCWU
260	Compound	PUBCHEM:5289243	DB02566
261	Compound	PUBCHEM:5289394	AC1NRD84
262	Compound	PUBCHEM:5321487	squamosamide
263	Compound	PUBCHEM:5326960	glutathione sulfinate
264	Compound	CHEMBL3190653	AC1NT7Z9
265	Compound	CHEMBL1330583	AC1NRZYN
266	Compound	CHEMBL1904348	AC1NTDW8
267	Compound	PUBCHEM:5496803	CHEBI:29688
268	Compound	CHEMBL3192121	AC1NWTDY
269	Compound	CHEMBL1973921	AC1NXANZ
270	Compound	CHEMBL1423731	AC1NXILO
271	Compound	CHEMBL1539980	NSC-662249
272	Compound	CHEMBL3199915	AC1O0917
273	Compound	CHEMBL1569988	AC1O31MA
274	Compound	CHEMBL3198633	AC1O35C4
275	Compound	CHEMBL1200937	dalfopristin
276	Compound	PUBCHEM:6449989	dehydrobutyrine
277	Compound	CHEMBL374308	lactacystin
278	Compound	CHEMBL1324188	AC1O7SB1
279	Compound	PUBCHEM:6857725	AC1OAH4S
280	Compound	CHEMBL361497	artesunate
281	Compound	CHEMBL1234265	N-Me-Phe
282	Compound	CHEMBL1503659	AC1OMM8Z
283	Compound	CHEMBL3192138	AC1OOOKN
284	Compound	CHEMBL1392611	AC1OY032
285	Compound	CHEMBL1457961	AC1OZ2B5
286	Compound	CHEMBL1378232	T5524007
287	Compound	CHEMBL105720	D05905
288	Compound	CHEMBL2004141	STK642096
289	Compound	CHEMBL1965654	MolPort-002-896-060
290	Compound	CHEMBL1481543	Ambcb7750122
291	Compound	CHEMBL3193873	T0517-8874
292	Compound	CHEMBL3195657	cid_9633427
293	Compound	CHEMBL3191218	Mls000589715
294	Compound	CHEMBL3198939	MolPort-003-704-645
295	Compound	CHEMBL3191946	STK579470
296	Compound	CHEMBL3195389	T0506-8620
297	Compound	CHEMBL3193530	PB315254390
298	Compound	PUBCHEM:10691837	nn-dimethyl guanylic acid
299	Compound	PUBCHEM:10878285	4-hydroxymethyl-3-methylindole-2-carboxylate
300	Compound	PUBCHEM:10965805	ZINC11887869
301	Compound	PUBCHEM:11062499	RP08852
302	Compound	CHEMBL1339283	Smr000204784
303	Compound	CHEMBL1333930	Mls000583076
304	Compound	CHEMBL1495977	Mls000720408
305	Compound	PUBCHEM:12803287	RTMP
306	Compound	PUBCHEM:12876354	GGZ
307	Compound	PUBCHEM:14728174	N(2)-methyl-GMP
308	Compound	PUBCHEM:16040250	[(2S)-1-[2-azanylethoxy(oxidanyl)phosphoryl]oxy-3-hexadecanoyloxy-propan-2-yl] octadecanoate
309	Compound	PUBCHEM:16040283	13T
310	Compound	CHEMBL1971760	Oprea1_168710
311	Compound	CHEMBL3190911	HMS2707L13
312	Compound	CHEMBL1230331	4-thiouridylate
313	Compound	CHEMBL1230507	CTK1D3306
314	Compound	PUBCHEM:16760241	Tn antigen
315	Compound	PUBCHEM:18596452	CTK0J9100
316	Compound	PUBCHEM:18628280	hydron;phosphonato phosphate
317	Compound	PUBCHEM:18931838	AGN-PC-0BUEPK
318	Compound	PUBCHEM:19420248	hydron;phosphate
319	Compound	PUBCHEM:20042692	hydron;sulfate
320	Compound	PUBCHEM:20274032	hydron;acetate
321	Compound	PUBCHEM:20395750	ethane-1,2-diol;hydron
322	Compound	CHEMBL1472925	HMS2883F04
323	Compound	CHEMBL1301042	HMS3358O07
324	Compound	CHEMBL1312738	HMS3357B03
325	Compound	PUBCHEM:24892762	C05696
326	Compound	CHEMBL507881	CHEMBL507881
327	Compound	CHEMBL525809	CHEMBL525809
328	Compound	CHEMBL526492	CHEMBL526492
329	Compound	CHEMBL505657	CHEMBL505657
330	Compound	CHEMBL526355	CHEMBL526355
331	Compound	CHEMBL230333	Neuropeptide S
332	Compound	PUBCHEM:44199360	N(6)-dimethyl-AMP
333	Compound	CHEMBL321214	CHEMBL321214
334	Compound	CHEMBL526551	CHEMBL526551
335	Compound	CHEMBL510338	CHEMBL510338
336	Compound	CHEMBL524693	CHEMBL524693
337	Compound	CHEMBL524688	CHEMBL524688
338	Compound	CHEMBL524654	CHEMBL524654
339	Compound	CHEMBL448242	CHEMBL448242
340	Compound	CHEMBL525031	CHEMBL525031
341	Compound	CHEMBL453962	CHEMBL453962
342	Compound	CHEMBL215940	N(3)-methyl-UMP
343	Compound	PUBCHEM:46173764	3'-amino-3'-deoxy-AMP
344	Compound	PUBCHEM:46936447	DB02661
345	Compound	PUBCHEM:46936762	DB03708
346	Compound	PUBCHEM:46937130	DB08185
347	Compound	PUBCHEM:49822695	cmp-5
348	Compound	PUBCHEM:49866400	CHEBI:74651
349	Compound	PUBCHEM:49866464	2-methyl-adenylate
350	Compound	PUBCHEM:49866561	SCHEMBL3470005
351	Compound	PUBCHEM:49866685	(Z)-2-amino-3-mercapto-acrylic acid
352	Compound	PUBCHEM:49866839	L-cysteine sulfoxide
353	Compound	PUBCHEM:49867309	n-methyl-p-dimethylaminophenylalanine
354	Compound	PUBCHEM:49867759	(2S,3S,4R)-2-amino-3,4-dihydroxy-3-methyl-valeric acid
355	Compound	PUBCHEM:49867784	(Z)-2-amino-3-ureido-acrylic acid
356	Compound	PUBCHEM:49867889	CHEBI:74300
357	Compound	PUBCHEM:52911283	A845205
358	Compound	PUBCHEM:52941584	CHEBI:74731
359	Compound	PUBCHEM:53723505	N-dimethyl-L-threonine
360	Compound	CHEMBL1765705	CHEMBL1765705
361	Compound	CHEMBL2338711	1F2
362	Compound	PUBCHEM:70789301	1F4
363	Compound	PUBCHEM:71627367	4'-O-Benzyl paromomycin
364	Compound	PUBCHEM:72193709	O-acetyl-ADP-ribose
365	Compound	CHEMBL1418244	pSer
366	Compound	CHEMBL457299	polyethylene glycol
367	Compound	CHEMBL539	acetate
368	Compound	PUBCHEM:181	acetyl-CoA
369	Compound	CHEMBL1160819	ammonia
370	Compound	CHEMBL1230732	adenosine monophosphate
371	Compound	CHEMBL1315356	anti-biotin
372	Compound	CHEMBL1159819	chloride
373	Compound	CHEMBL1329786	poly-C
374	Compound	CHEMBL1214873	CMP-NeuAc
375	Compound	PUBCHEM:392	beta-lysin
376	Compound	CHEMBL1200630	cystein
377	Compound	CHEMBL1200559	lactate
378	Compound	PUBCHEM:620	dADP
379	Compound	CHEMBL1356971	deoxycytidine
380	Compound	CHEMBL100476	reduced glutathione
381	Compound	CHEMBL1242996	guanylate
382	Compound	CHEMBL1201369	guanosine triphosphate
383	Compound	PUBCHEM:813	potassium
384	Compound	CHEMBL1200861	tartrate
385	Compound	PUBCHEM:911	fMet
386	Compound	CHEMBL1200760	sodium
387	Compound	PUBCHEM:990	3'-phosphoadenosine 5'-phosphosulfate
388	Compound	CHEMBL25080	phenylalanine
389	Compound	CHEMBL1742182	O-phosphothreonine
390	Compound	PUBCHEM:1042	pseudouridylic acid
391	Compound	CHEMBL1208642	thiosulfate
392	Compound	CHEMBL292303	tryptophan
393	Compound	CHEMBL11257	L-valine
394	Compound	CHEMBL1367623	anisomycin
395	Compound	PUBCHEM:2891	cobalt
396	Compound	CHEMBL117110	fusidic acid
397	Compound	CHEMBL1165003	geldanamycin
398	Compound	PUBCHEM:3486	glutathione sulfonic acid
399	Compound	CHEMBL175858	homoharringtonine
400	Compound	CHEMBL1778420	3-phenyllactic acid
401	Compound	CHEMBL131226	2-phenylglycine
402	Compound	PUBCHEM:4378	MeVal
403	Compound	CHEMBL1322152	paromomycin
404	Compound	PUBCHEM:4800	GMPCPP
405	Compound	CHEMBL1330459	puromycin
406	Compound	CHEMBL151763	rivastigmine
407	Compound	PUBCHEM:5133	S-(p-nitrobenzyl)glutathione
408	Compound	CHEMBL1255799	spiramycin
409	Compound	CHEMBL1200740	streptomycin
410	Compound	CHEMBL1376	sulindac
411	Compound	CHEMBL1230782	alpha-aminobutyric acid
412	Compound	CHEMBL1090755	emetine
413	Compound	CHEMBL101960	sparsomycin
414	Compound	CHEMBL1994414	pactamycin
415	Compound	CHEMBL1232391	magic bullet
416	Compound	CHEMBL1161633	chlorate
417	Compound	CHEMBL1206211	glucans
418	Compound	CHEMBL2137046	4-hydroxytamoxifen
419	Compound	CHEMBL1254011	kasugamycin
420	Compound	CHEMBL144149	artesunate
421	Compound	CHEMBL1136	telithromycin
422	Compound	CHEMBL2106034	strontium
423	Compound	CHEMBL2114026	mycalamide A
424	Compound	CHEMBL608610	RTMP
425	Compound	CHEMBL2311177	5-methylcytidylic acid
426	Compound	PUBCHEM:197474	squamosamide
427	Compound	PUBCHEM:429092	poly(rCm
428	Compound	PUBCHEM:441214	3'-amino-3'-deoxy-AMP
429	Compound	PUBCHEM:447049	O-acetyl-ADP-ribose
430	Compound	CHEMBL1236347	Tn antigen
431	Compound	PUBCHEM:3082167	dehydrobutyrine
432	Compound	PUBCHEM:3274683	2'-O-methyl-UMP
433	Compound	PUBCHEM:3334071	DB02566
434	Compound	PUBCHEM:3400927	AC1MOUJN
435	Compound	CHEMBL177327	AC1N9J6O
436	Compound	PUBCHEM:4468926	AC1NBJ90
437	Compound	PUBCHEM:4469360	1-methylguanylic acid
438	Compound	PUBCHEM:4469584	2-methyl-adenylate
439	Compound	PUBCHEM:4469586	N(2)-methyl-GMP
440	Compound	PUBCHEM:4470567	AC1NBMZI
441	Compound	PUBCHEM:4473092	atrazine-glutathione conjugate
442	Compound	PUBCHEM:4473609	AC1NRA5X
443	Compound	PUBCHEM:4477691	AC1NAIWV
444	Compound	PUBCHEM:4477868	N(6)-dimethyl-AMP
445	Compound	PUBCHEM:4477870	AC1NAJ9M
446	Compound	PUBCHEM:4478774	AC1NAL8N
447	Compound	PUBCHEM:4626828	cmp-5
448	Compound	PUBCHEM:4627981	L-Capreomycidine
449	Compound	PUBCHEM:4631220	AC1NRB2Z
450	Compound	PUBCHEM:5326793	PE(34:0)
451	Compound	CHEMBL1732490	AC1O07N3
452	Compound	CHEMBL390183	13-deoxytedanolide
453	Compound	PUBCHEM:10774843	K-9390
454	Compound	PUBCHEM:11008023	4oxolpipecolic acid
455	Compound	PUBCHEM:12876353	AGN-PC-00JW3C
456	Compound	CHEMBL318812	AGN-PC-0IX121
457	Compound	PUBCHEM:19002523	S-lactoylcysteine
458	Compound	PUBCHEM:20516571	N-dimethyl-L-threonine
459	Compound	PUBCHEM:25122322	4'-O-Benzyl paromomycin
460	Compound	PUBCHEM:49867307	3-Hydroxy-2-Iminopropanoic Acid
461	Compound	PUBCHEM:49867308	3-quinuclidinylthiomethyl
462	Compound	PUBCHEM:53654133	CTK0A1398
463	Compound	CHEMBL2338710	AGN-PC-0J2N9U
464	BiologicalProcess	GO:0071364	cellular response to epidermal growth factor stimulus
465	BiologicalProcess	GO:0006351	DNA-templated transcription
466	BiologicalProcess	GO:0044829	host-mediated activation of viral genome replication
467	BiologicalProcess	GO:1904714	regulation of chaperone-mediated autophagy
468	BiologicalProcess	GO:0006412	translation
469	BiologicalProcess	GO:0006414	translational elongation
470	BiologicalProcess	GO:0045471	response to ethanol
471	BiologicalProcess	GO:0009615	response to virus
472	BiologicalProcess	GO:0034605	cellular response to heat
473	BiologicalProcess	GO:0071479	cellular response to ionizing radiation
474	BiologicalProcess	GO:0002182	cytoplasmic translational elongation
475	BiologicalProcess	GO:0045944	positive regulation of transcription by RNA polymerase II
476	BiologicalProcess	GO:0002181	cytoplasmic translation
477	BiologicalProcess	GO:1901740	negative regulation of myoblast fusion
478	BiologicalProcess	GO:0007283	spermatogenesis
479	BiologicalProcess	GO:0006941	striated muscle contraction
480	BiologicalProcess	GO:0090218	positive regulation of lipid kinase activity
481	BiologicalProcess	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
482	BiologicalProcess	GO:0042273	ribosomal large subunit biogenesis
483	BiologicalProcess	GO:0006364	rRNA processing
484	BiologicalProcess	GO:0051443	positive regulation of ubiquitin-protein transferase activity
485	BiologicalProcess	GO:0006915	apoptotic process
486	BiologicalProcess	GO:0006284	base-excision repair
487	BiologicalProcess	GO:0051301	cell division
488	BiologicalProcess	GO:0070301	cellular response to hydrogen peroxide
489	BiologicalProcess	GO:0034614	cellular response to reactive oxygen species
490	BiologicalProcess	GO:0007059	chromosome segregation
491	BiologicalProcess	GO:0002183	cytoplasmic translational initiation
492	BiologicalProcess	GO:0006974	DNA damage response
493	BiologicalProcess	GO:0006281	DNA repair
494	BiologicalProcess	GO:0045738	negative regulation of DNA repair
495	BiologicalProcess	GO:0031397	negative regulation of protein ubiquitination
496	BiologicalProcess	GO:0017148	negative regulation of translation
497	BiologicalProcess	GO:2001235	positive regulation of apoptotic signaling pathway
498	BiologicalProcess	GO:1905053	positive regulation of base-excision repair
499	BiologicalProcess	GO:0045739	positive regulation of DNA repair
500	BiologicalProcess	GO:2000144	positive regulation of DNA-templated transcription initiation
501	BiologicalProcess	GO:0010628	positive regulation of gene expression
502	BiologicalProcess	GO:1902231	positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage
503	BiologicalProcess	GO:0031116	positive regulation of microtubule polymerization
504	BiologicalProcess	GO:1901224	positive regulation of non-canonical NF-kappaB signal transduction
505	BiologicalProcess	GO:0042981	regulation of apoptotic process
506	BiologicalProcess	GO:0061481	response to TNF agonist
507	BiologicalProcess	GO:0051225	spindle assembly
508	BiologicalProcess	GO:0030154	cell differentiation
509	BiologicalProcess	GO:0043066	negative regulation of apoptotic process
510	BiologicalProcess	GO:0042274	ribosomal small subunit biogenesis
511	BiologicalProcess	GO:0006413	translational initiation
512	BiologicalProcess	GO:0071389	cellular response to mineralocorticoid stimulus
513	BiologicalProcess	GO:0006259	DNA metabolic process
514	BiologicalProcess	GO:0046039	GTP metabolic process
515	BiologicalProcess	GO:0021766	hippocampus development
516	BiologicalProcess	GO:0000278	mitotic cell cycle
517	BiologicalProcess	GO:0000070	mitotic sister chromatid segregation
518	BiologicalProcess	GO:0007052	mitotic spindle organization
519	BiologicalProcess	GO:0042307	positive regulation of protein import into nucleus
520	BiologicalProcess	GO:0035281	pre-miRNA export from nucleus
521	BiologicalProcess	GO:0006611	protein export from nucleus
522	BiologicalProcess	GO:0006606	protein import into nucleus
523	BiologicalProcess	GO:1902570	protein localization to nucleolus
524	BiologicalProcess	GO:0000055	ribosomal large subunit export from nucleus
525	BiologicalProcess	GO:0000056	ribosomal small subunit export from nucleus
526	BiologicalProcess	GO:0000054	ribosomal subunit export from nucleus
527	BiologicalProcess	GO:0061015	snRNA import into nucleus
528	BiologicalProcess	GO:0007286	spermatid development
529	BiologicalProcess	GO:0016032	viral process
530	BiologicalProcess	GO:0002184	cytoplasmic translational termination
531	BiologicalProcess	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
532	BiologicalProcess	GO:0006479	protein methylation
533	BiologicalProcess	GO:0006449	regulation of translational termination
534	BiologicalProcess	GO:0006415	translational termination
535	BiologicalProcess	GO:0071276	cellular response to cadmium ion
536	BiologicalProcess	GO:0071280	cellular response to copper ion
537	BiologicalProcess	GO:0072738	cellular response to diamide
538	BiologicalProcess	GO:0071480	cellular response to gamma radiation
539	BiologicalProcess	GO:1903936	cellular response to sodium arsenite
540	BiologicalProcess	GO:0034620	cellular response to unfolded protein
541	BiologicalProcess	GO:0000165	MAPK cascade
